SL.No,VILLAGE,NEAR BY LOCATION/LAND MARK,DISTRICT,MANDAL,PANCHAYATI,"GVMC ZONE,NO& NAME",GVMC WARD NO & NAME,VMRDA ZONE No.& Name,Registers office Location,GVMC/ VMRDA,ADD NEAR BY Location
,,,,,,,,,,,
1,Akkireddipalem,Akkireddipalem,VISAKHAPATNAM,Gajuwaka,Akkireddipalem,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Akkireddipalem
1,Chinagantyada,Chinagantyada,VISAKHAPATNAM,Gajuwaka,Chinagantyada,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Chinagantyada
1,Mindi,Mindi,VISAKHAPATNAM,Gajuwaka,Mindi,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Mindi
1,Jaggarajupeta,Jaggarajupeta,VISAKHAPATNAM,Gajuwaka,Jaggarajupeta,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Jaggarajupeta
1,Thunglam,Thunglam,VISAKHAPATNAM,Gajuwaka,Thunglam,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Thunglam
1,Gajuwaka,Gajuwaka,VISAKHAPATNAM,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Gajuwaka
1,Aganampudi,Aganampudi,VISAKHAPATNAM,Gajuwaka,Aganampudi,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Aganampudi
1,Duvvada,Duvvada,VISAKHAPATNAM,Gajuwaka,Duvvada,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Duvvada
1,Saniwada,Saniwada,VISAKHAPATNAM,Gajuwaka,Saniwada,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Saniwada
1,Fakher tikya,Fakher tikya,VISAKHAPATNAM,Gajuwaka,Fakher tikya,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Fakher tikya
1,Kurmannapalem,Kurmannapalem,VISAKHAPATNAM,Gajuwaka,Kurmannapalem,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Kurmannapalem
1,Thalarivanipalem,Thalarivanipalem,VISAKHAPATNAM,Gajuwaka,Thalarivanipalem,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Thalarivanipalem
1,Kanithi,Kanithi,VISAKHAPATNAM,Gajuwaka,Kanithi,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Kanithi
1,Kondayyavalasa,Kondayyavalasa,VISAKHAPATNAM,Gajuwaka,Kondayyavalasa,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Kondayyavalasa
1,Vadlapudi,Vadlapudi,VISAKHAPATNAM,Gajuwaka,Vadlapudi,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Vadlapudi
1,Venkatapatrarajupeta,Venkatapatrarajupeta,VISAKHAPATNAM,Gajuwaka,Venkatapatrarajupeta,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Venkatapatrarajupeta
1,Yarada,Yarada,VISAKHAPATNAM,Gajuwaka,Yarada,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Yarada
1,Dolphinnose,Dolphinnose,VISAKHAPATNAM,Gajuwaka,Dolphinnose,Gajuwaka,Gajuwaka,Gajuwaka,Gajuwaka,GVMC ,Dolphinnose
2,Madhavadhara,Madhavadhara,VISAKHAPATNAM,Gopalapatnam,Madhavadhara,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Madhavadhara
2,Kapparada,Kapparada,VISAKHAPATNAM,Gopalapatnam,Kapparada,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Kapparada
2,Buthirajupalem,Buthirajupalem,VISAKHAPATNAM,Gopalapatnam,Buthirajupalem,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Buthirajupalem
2,Pullambhotlapalem,Pullambhotlapalem,VISAKHAPATNAM,Gopalapatnam,Pullambhotlapalem,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Pullambhotlapalem
2,Kancharapalem Ward,Kancharapalem Ward,VISAKHAPATNAM,Gopalapatnam,Kancharapalem Ward,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Kancharapalem Ward
2,Kancharapalem Village,Kancharapalem Village,VISAKHAPATNAM,Gopalapatnam,Kancharapalem Village,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Kancharapalem Village
2,Marripalem,Marripalem,VISAKHAPATNAM,Gopalapatnam,Marripalem,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Marripalem
2,Gopalapatnam,Gopalapatnam,VISAKHAPATNAM,Gopalapatnam,Gopalapatnam,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Gopalapatnam
2,Venkatapuram,Venkatapuram,VISAKHAPATNAM,Gopalapatnam,Venkatapuram,Pendurthi,Pendurthi,Pendurthi,Gopalapatnam,GVMC ,Venkatapuram
3,Pedagantyada (U),Pedagantyada (U),VISAKHAPATNAM,Pedagantyada,Pedagantyada (U),Gajuwaka,Gajuwaka,Gajuwaka,Pedagantyada,GVMC ,Pedagantyada (U)
3,Nadupuru ,Nadupuru ,VISAKHAPATNAM,Pedagantyada,Nadupuru ,Gajuwaka,Gajuwaka,Gajuwaka,Pedagantyada,GVMC ,Nadupuru 
